line,Datum,Potrjeni ostali,Potrjeni zasciteni s cepljenjem,Potrjeni ostali 7dnevno povprecje,Potrjeni zasciteni s cepljenjem 7dnevno povprecje,Potrjeni ostali 7dnevno povprecje na 100000,Potrjeni zasciteni s cepljenjem 7dnevno povprecje na 100000
508,25-JUL-2021,16,4,59.43,7.43,4.35,1.00
509,26-JUL-2021,95,11,61.86,7.43,4.55,0.99
510,27-JUL-2021,72,12,57.86,7.71,4.28,1.02
511,28-JUL-2021,80,15,60.57,8.57,4.50,1.12
512,29-JUL-2021,98,15,67.86,9.29,5.07,1.20
513,30-JUL-2021,114,20,72.29,11.14,5.42,1.43
514,31-JUL-2021,50,7,75.00,12.00,5.64,1.54
515,01-AUG-2021,26,5,76.43,12.14,5.75,1.56
516,02-AUG-2021,147,26,83.86,14.29,6.34,1.82
517,03-AUG-2021,126,13,91.57,14.43,6.94,1.83
518,04-AUG-2021,125,14,98.00,14.29,7.45,1.80
519,05-AUG-2021,115,23,100.43,15.43,7.66,1.93
520,06-AUG-2021,108,18,99.57,15.14,7.62,1.89
521,07-AUG-2021,57,10,100.57,15.57,7.70,1.94
522,08-AUG-2021,39,7,102.43,15.86,7.85,1.97
523,09-AUG-2021,184,31,107.71,16.57,8.29,2.04
524,10-AUG-2021,208,37,119.43,20.00,9.23,2.45
525,11-AUG-2021,213,30,132.00,22.29,10.23,2.72
526,12-AUG-2021,169,23,139.71,22.29,10.86,2.71
527,13-AUG-2021,224,37,156.29,25.00,12.18,3.03
528,14-AUG-2021,69,22,158.00,26.71,12.33,3.23
529,15-AUG-2021,47,10,159.14,27.14,12.43,3.27
530,16-AUG-2021,251,59,168.71,31.14,13.22,3.73
531,17-AUG-2021,336,49,187.00,32.86,14.71,3.92
532,18-AUG-2021,320,59,202.29,37.00,15.97,4.39
533,19-AUG-2021,278,53,217.86,41.29,17.25,4.88
534,20-AUG-2021,325,59,232.29,44.43,18.45,5.23
535,21-AUG-2021,204,38,251.57,46.71,20.01,5.49
536,22-AUG-2021,100,16,259.14,47.57,20.63,5.58
537,23-AUG-2021,383,89,278.00,51.86,22.19,6.05
538,24-AUG-2021,411,96,288.71,58.57,23.12,6.80
539,25-AUG-2021,416,89,302.43,62.86,24.30,7.27
540,26-AUG-2021,417,118,322.29,72.14,25.96,8.31
541,27-AUG-2021,409,127,334.29,81.86,27.01,9.38
542,28-AUG-2021,222,54,336.86,84.14,27.26,9.63
543,29-AUG-2021,108,32,338.00,86.43,27.37,9.88
544,30-AUG-2021,430,106,344.71,88.86,28.00,10.12
545,31-AUG-2021,619,152,374.43,96.86,30.53,10.97
546,01-SEP-2021,517,149,388.86,105.43,31.81,11.89
547,02-SEP-2021,473,134,396.86,107.71,32.57,12.10
548,03-SEP-2021,592,148,423.00,110.71,34.83,12.38
549,04-SEP-2021,262,55,428.71,110.86,35.35,12.37
550,05-SEP-2021,189,46,440.29,112.86,36.34,12.58
551,06-SEP-2021,674,203,475.14,126.71,39.33,14.06
552,07-SEP-2021,863,230,510.00,137.86,42.38,15.23
553,08-SEP-2021,795,222,549.71,148.29,45.81,16.31
554,09-SEP-2021,787,210,594.57,159.14,49.69,17.44
555,10-SEP-2021,841,240,630.14,172.29,52.82,18.81
556,11-SEP-2021,451,108,657.14,179.86,55.15,19.61
557,12-SEP-2021,207,76,659.71,184.14,55.41,20.05
558,13-SEP-2021,1100,291,720.57,196.71,60.70,21.34
559,14-SEP-2021,1073,292,750.57,205.57,63.42,22.22
560,15-SEP-2021,1036,287,785.00,214.86,66.49,23.14
561,16-SEP-2021,915,230,803.29,217.71,68.20,23.39
562,17-SEP-2021,949,299,818.71,226.14,69.67,24.21
563,18-SEP-2021,427,114,815.29,227.00,69.46,24.27
564,19-SEP-2021,223,65,817.57,225.43,69.69,24.09
565,20-SEP-2021,978,328,800.14,230.71,68.38,24.57
566,21-SEP-2021,914,271,777.43,227.71,66.62,24.17
567,22-SEP-2021,765,240,738.71,221.00,63.48,23.37
568,23-SEP-2021,704,234,708.57,221.57,61.05,23.36
569,24-SEP-2021,791,215,686.00,209.57,59.29,22.02
570,25-SEP-2021,325,119,671.43,210.29,58.11,22.06
571,26-SEP-2021,224,59,671.57,209.43,58.17,21.95
572,27-SEP-2021,777,259,642.86,199.57,55.89,20.82
573,28-SEP-2021,954,386,648.57,216.00,56.63,22.40
574,29-SEP-2021,758,264,647.57,219.43,56.76,22.66
575,30-SEP-2021,680,291,644.14,227.57,56.69,23.37
576,01-OCT-2021,715,277,633.29,236.43,56.00,24.16
577,02-OCT-2021,393,138,643.00,239.14,57.00,24.37
578,03-OCT-2021,176,49,636.14,237.71,56.47,24.20
579,04-OCT-2021,758,221,633.43,232.29,56.53,23.52
580,05-OCT-2021,903,304,626.14,220.57,56.20,22.18
581,06-OCT-2021,727,239,621.71,217.00,56.04,21.72
582,07-OCT-2021,625,212,613.86,205.71,55.52,20.51
583,08-OCT-2021,652,230,604.86,199.00,54.88,19.76
584,09-OCT-2021,355,132,599.43,198.14,54.48,19.64
585,10-OCT-2021,135,50,593.57,198.29,53.98,19.64
586,11-OCT-2021,730,272,589.57,205.57,53.81,20.28
587,12-OCT-2021,877,346,585.86,211.57,53.70,20.77
588,13-OCT-2021,761,319,590.71,223.00,54.35,21.81
589,14-OCT-2021,763,338,610.43,241.00,56.36,23.49
590,15-OCT-2021,953,481,653.43,276.86,60.54,26.87
591,16-OCT-2021,424,206,663.29,287.43,61.55,27.85
592,17-OCT-2021,221,143,675.57,300.71,62.73,29.12
593,18-OCT-2021,1164,505,737.57,334.00,68.73,32.24
594,19-OCT-2021,1443,709,818.43,385.86,76.60,37.08
595,20-OCT-2021,1211,635,882.71,431.00,82.94,41.25
596,21-OCT-2021,1277,691,956.14,481.43,90.28,45.85
597,22-OCT-2021,1509,760,1035.57,521.29,98.37,49.35
598,23-OCT-2021,1006,488,1118.71,561.57,106.61,53.00
599,24-OCT-2021,484,222,1156.29,572.86,110.35,53.99
600,25-OCT-2021,1500,793,1204.29,614.00,115.57,57.56
601,26-OCT-2021,1994,1140,1283.00,675.57,123.92,62.93
602,27-OCT-2021,1695,934,1352.14,718.29,131.22,66.59
603,28-OCT-2021,1618,888,1400.86,746.43,136.51,68.92
604,29-OCT-2021,1921,1066,1459.71,790.14,142.82,72.68
605,30-OCT-2021,1099,561,1473.00,800.57,144.45,73.50
606,31-OCT-2021,809,443,1519.43,832.14,149.20,76.31
607,01-NOV-2021,746,389,1411.71,774.43,138.94,70.87
608,02-NOV-2021,2157,1299,1435.00,797.14,141.75,72.69
609,03-NOV-2021,2862,1645,1601.71,898.71,158.72,81.71
610,04-NOV-2021,2386,1388,1711.43,970.14,169.99,88.01
611,05-NOV-2021,2302,1351,1765.86,1010.86,175.77,91.53
612,06-NOV-2021,1471,843,1819.00,1051.14,181.27,95.08
613,07-NOV-2021,804,480,1818.29,1056.43,181.34,95.49
614,08-NOV-2021,2113,1227,2013.57,1176.14,201.03,106.22
615,09-NOV-2021,2911,1560,2121.29,1213.43,212.16,109.41
616,10-NOV-2021,2287,1280,2039.14,1161.29,204.30,104.55
617,11-NOV-2021,2171,1258,2008.43,1142.71,201.49,102.75
618,12-NOV-2021,2405,1257,2023.14,1129.29,203.21,101.43
619,13-NOV-2021,1558,806,2035.57,1124.00,204.62,100.89
620,14-NOV-2021,1186,634,2090.14,1146.00,210.20,102.82
621,15-NOV-2021,2439,1323,2136.71,1159.71,215.09,103.96
622,16-NOV-2021,2844,1433,2127.14,1141.57,214.37,102.23
623,17-NOV-2021,2497,1164,2157.14,1125.00,217.60,100.66
624,18-NOV-2021,2330,1184,2179.86,1114.43,220.08,99.64
625,19-NOV-2021,2224,1013,2154.00,1079.57,217.65,96.46
626,20-NOV-2021,1534,708,2150.57,1065.57,217.44,95.16
627,21-NOV-2021,945,442,2116.14,1038.14,214.05,92.67
628,22-NOV-2021,2303,1089,2096.71,1004.71,212.32,89.59
629,23-NOV-2021,2110,1028,1991.86,946.86,201.93,84.35
630,24-NOV-2021,1840,827,1898.00,898.71,192.62,79.99
631,25-NOV-2021,1619,742,1796.43,835.57,182.50,74.30
632,26-NOV-2021,1558,665,1701.29,785.86,173.01,69.82
633,27-NOV-2021,999,480,1624.86,753.29,165.36,66.88
634,28-NOV-2021,704,332,1590.43,737.57,161.94,65.46
635,29-NOV-2021,1713,772,1506.14,692.29,153.55,61.37
636,30-NOV-2021,1531,723,1423.43,648.71,145.31,57.44
637,01-DEC-2021,1491,636,1373.57,621.43,140.39,54.97
638,02-DEC-2021,1182,556,1311.14,594.86,134.16,52.57
639,03-DEC-2021,1331,571,1278.71,581.43,130.99,51.33
640,04-DEC-2021,766,348,1245.43,562.57,127.68,49.63
641,05-DEC-2021,543,232,1222.43,548.29,125.39,48.35
642,06-DEC-2021,1363,588,1172.43,522.00,120.42,45.98
643,07-DEC-2021,1319,532,1142.14,494.71,117.47,43.53
644,08-DEC-2021,1186,498,1098.57,475.00,113.13,41.75
645,09-DEC-2021,936,385,1063.43,450.57,109.63,39.56
646,10-DEC-2021,1029,447,1020.29,432.86,105.31,37.97
647,11-DEC-2021,550,232,989.43,416.29,102.20,36.49
648,12-DEC-2021,478,199,980.14,411.57,101.31,36.06
649,13-DEC-2021,1219,493,959.57,398.00,99.36,34.81
650,14-DEC-2021,1054,475,921.71,389.86,95.61,34.05
651,15-DEC-2021,978,366,892.00,371.00,92.69,32.36
652,16-DEC-2021,872,408,882.86,374.29,91.89,32.60
653,17-DEC-2021,898,386,864.14,365.57,90.11,31.79
654,18-DEC-2021,528,234,861.00,365.86,89.88,31.78
655,19-DEC-2021,412,173,851.57,362.14,88.97,31.44
656,20-DEC-2021,1055,499,828.14,363.00,86.73,31.45
657,21-DEC-2021,830,418,796.14,354.86,83.55,30.69
658,22-DEC-2021,774,348,767.00,352.29,80.66,30.42
659,23-DEC-2021,769,433,752.29,355.86,79.27,30.67
660,24-DEC-2021,733,356,728.71,351.57,76.94,30.25
661,25-DEC-2021,428,236,714.43,351.86,75.53,30.25
662,26-DEC-2021,455,243,720.57,361.86,76.27,31.08
663,27-DEC-2021,1136,681,732.14,387.86,77.70,33.24
664,28-DEC-2021,1140,723,776.43,431.43,82.58,36.91
665,29-DEC-2021,1022,661,811.86,476.14,86.50,40.68
666,30-DEC-2021,1134,756,864.00,522.29,92.21,44.56
667,31-DEC-2021,990,673,900.71,567.57,96.25,48.37
668,01-JAN-2022,501,325,911.14,580.29,97.43,49.43
669,02-JAN-2022,536,471,922.71,612.86,98.74,52.17
670,03-JAN-2022,1894,1491,1031.00,728.57,110.57,61.91
671,04-JAN-2022,2220,1842,1185.29,888.43,127.39,75.37
672,05-JAN-2022,2060,1767,1333.57,1046.43,143.57,88.66
673,06-JAN-2022,2208,1853,1487.00,1203.14,160.37,101.80
674,07-JAN-2022,2609,1860,1718.29,1372.71,185.56,116.04
675,08-JAN-2022,1856,1477,1911.86,1537.29,206.60,129.89
676,09-JAN-2022,1395,1118,2034.57,1629.71,219.96,137.65
677,10-JAN-2022,3028,2133,2196.57,1721.43,237.74,145.27
678,11-JAN-2022,4425,2993,2511.57,1885.86,272.17,159.00
679,12-JAN-2022,4030,2833,2793.00,2038.14,302.94,171.71
680,13-JAN-2022,3982,2940,3046.43,2193.43,330.66,184.69
681,14-JAN-2022,4553,3029,3324.14,2360.43,361.04,198.65
682,15-JAN-2022,3618,2383,3575.86,2489.86,388.54,209.47
683,16-JAN-2022,2884,2074,3788.57,2626.43,411.77,220.91
684,17-JAN-2022,5239,3433,4104.43,2812.14,446.36,236.43
685,18-JAN-2022,7451,4825,4536.71,3073.86,493.75,258.28
686,19-JAN-2022,6023,4245,4821.43,3275.57,525.08,275.09
687,20-JAN-2022,5860,3983,5089.71,3424.57,554.70,287.43
